NormT,magnus
0.000000000000000000e+00,3.299700259004301704e-05
3.694195581507186098e-03,3.205771362645594408e-05
7.388391163014372195e-03,3.116134484250549820e-05
1.108258711098940134e-02,3.028618555908487318e-05
1.477678232602874439e-02,2.939747979542963697e-05
1.847097754106808570e-02,2.859313954123474677e-05
2.216517275610743049e-02,2.779708101451956425e-05
2.585936943701814400e-02,2.695612222095441032e-05
2.955356465205748878e-02,2.614549538033242188e-05
3.324775986709683356e-02,2.539689022276280081e-05
3.694195508213617141e-02,2.466740439042577760e-05
4.063615029717551619e-02,2.404903922162588908e-05
4.433034551221486097e-02,2.342124711688647475e-05
4.802454072725420575e-02,2.277925774227663501e-05
5.171873887403628800e-02,2.214152223610502815e-05
5.541293408907563278e-02,2.152421667105376850e-05
5.910712930411497756e-02,2.093049904175839517e-05
6.280132451915432235e-02,2.035601658986750694e-05
6.649551973419366713e-02,1.982203026878939174e-05
7.018971494923299803e-02,1.929157879826215547e-05
7.388391016427234281e-02,1.883594303675111090e-05
7.757810537931168759e-02,1.837756331827062803e-05
8.127230059435103238e-02,1.784418763389233450e-05
8.496649580939037716e-02,1.744251771941325200e-05
8.866069102442972194e-02,1.702854834966306379e-05
9.235488623946906672e-02,1.669816044299727195e-05
9.604908145450841150e-02,1.637668237271930742e-05
9.974328253303323122e-02,1.598073786985981657e-05
1.034374777480725760e-01,1.560982382069314701e-05
1.071316729631119208e-01,1.533370269523520111e-05
1.108258681781512656e-01,1.502021064298354168e-05
1.145200633931906103e-01,1.480641867005530997e-05
1.182142586082299551e-01,1.455056098728237888e-05
1.219084538232692999e-01,1.431035104963467926e-05
1.256026490383086447e-01,1.403943384387008563e-05
1.292968442533479756e-01,1.382586049823987180e-05
1.329910394683873343e-01,1.358996967183929710e-05
1.366852346834266652e-01,1.337602062789617430e-05
1.403794298984659961e-01,1.313939803325062678e-05
1.440736251135053547e-01,1.297774562863281428e-05
1.477678203285446856e-01,1.286123527783950596e-05
1.514620155435840443e-01,1.274298347674989732e-05
1.551562107586233752e-01,1.263841360165720914e-05
1.588504059736627338e-01,1.239481979344835276e-05
1.625446011887020648e-01,1.232189286989069156e-05
1.662387964037414234e-01,1.232163151679234202e-05
1.699329916187807543e-01,1.219961969213256057e-05
1.736271868338200852e-01,1.224744663018352049e-05
1.773213820488594439e-01,1.230210804610609436e-05
1.810155772638987748e-01,1.227639707091219229e-05
1.847097724789381334e-01,1.224883173327381204e-05
1.884039676939774643e-01,1.219198433263758778e-05
1.920981629090168230e-01,1.226985338846625431e-05
1.957923581240561539e-01,1.233074151342932000e-05
1.994865650660664624e-01,1.229965137530338651e-05
2.031807720080767987e-01,1.231967122933764396e-05
2.068749789500871072e-01,1.228253824465784894e-05
2.105691858920974158e-01,1.234610011380061822e-05
2.142633928341077243e-01,1.242031815052005482e-05
2.179575997761180606e-01,1.258091750065384809e-05
2.216518067181283691e-01,1.262559106473270601e-05
2.253460136601386776e-01,1.273131679586609417e-05
2.290402206021490139e-01,1.286680711153787043e-05
2.327344275441593224e-01,1.295734457198862765e-05
2.364286344861696310e-01,1.302489804017143788e-05
2.401228414281799395e-01,1.314073776934557285e-05
2.438170483701902758e-01,1.321908225076132166e-05
2.475112553122005843e-01,1.323568153012588084e-05
2.512054622542109206e-01,1.330961485170272838e-05
2.548996691962212013e-01,1.340808852811699251e-05
2.585938761382315376e-01,1.344621788679922131e-05
2.622880830802418184e-01,1.354204852388520369e-05
2.659822900222521547e-01,1.367375021290629103e-05
2.696764969642624910e-01,1.376790580360251477e-05
2.733707039062727717e-01,1.385051753547383316e-05
2.770649108482831080e-01,1.397468712392043702e-05
2.807591177902934443e-01,1.403602847060266320e-05
2.844533247323037251e-01,1.411638456909287747e-05
2.881475316743140613e-01,1.412359333583626868e-05
2.918417386163243976e-01,1.421404043280523601e-05
2.955359455583346784e-01,1.435584299959263302e-05
2.992301525003450147e-01,1.443710062301271360e-05
3.029243594423553509e-01,1.452394804899058618e-05
3.066185663843656317e-01,1.458554081594287629e-05
3.103127733263759680e-01,1.465180715394850417e-05
3.140069802683862488e-01,1.475799975367358965e-05
3.177011872103965850e-01,1.477667158387693179e-05
3.213953941524069213e-01,1.472209812879426706e-05
3.250896010944172021e-01,1.480713673698039525e-05
3.287838080364275384e-01,1.482511069558120700e-05
3.324780149784378747e-01,1.488609346199720127e-05
3.361722219204481554e-01,1.488426148083403181e-05
3.398664288624584917e-01,1.496528852652456474e-05
3.435606358044688280e-01,1.492241232812591091e-05
3.472548427464791088e-01,1.495361788696704073e-05
3.509490496884894450e-01,1.501314180371397043e-05
3.546432566304997258e-01,1.506139627223540522e-05
3.583374635725100621e-01,1.511699627637859737e-05
3.620316705145203984e-01,1.509488050103008363e-05
3.657258774565306791e-01,1.508797934290416789e-05
3.694200843985410154e-01,1.510970268364721452e-05
3.731142913405513517e-01,1.515245067120367381e-05
3.768084982825616325e-01,1.527832444227638796e-05
3.805027052245719688e-01,1.542369834338576829e-05
3.841969121665823050e-01,1.557765401973967164e-05
3.878911191085925858e-01,1.559170981308979234e-05
3.915853260506029221e-01,1.553957981878831716e-05
3.952795095386713031e-01,1.559031198155883400e-05
3.989736930267396287e-01,1.559460153336208552e-05
4.026678765148080097e-01,1.563458829929498706e-05
4.063620600028763907e-01,1.566657019293521113e-05
4.100562434909447718e-01,1.571252238201238362e-05
4.137504269790131528e-01,1.573507805618890056e-05
4.174446104670814783e-01,1.570624274220803289e-05
4.211387939551498594e-01,1.571593810392895416e-05
4.248329774432182404e-01,1.573997112622395439e-05
4.285271609312866214e-01,1.580652070732998374e-05
4.322213444193550025e-01,1.589679243638639195e-05
4.359155279074233280e-01,1.599321684649106137e-05
4.396097113954917091e-01,1.600557676263618262e-05
4.433038948835600901e-01,1.609446430037931778e-05
4.469980783716284711e-01,1.610249539941224705e-05
4.506922618596968522e-01,1.611320147010799478e-05
4.543864453477651777e-01,1.613964293706583291e-05
4.580806288358335587e-01,1.614894281253236228e-05
4.617748123239019398e-01,1.618021968001258514e-05
4.654689958119703208e-01,1.629812130839504989e-05
4.691631793000387018e-01,1.630124287510121417e-05
4.728573627881070274e-01,1.629202110410718984e-05
4.765515462761754084e-01,1.633902026670911502e-05
4.802457297642437895e-01,1.639453535184717220e-05
4.839399132523121705e-01,1.643705632379953197e-05
4.876340967403805515e-01,1.642620278577679253e-05
4.913282802284488771e-01,1.656605057692642614e-05
4.950224637165172581e-01,1.658614797548967353e-05
4.987166472045856391e-01,1.657226343101377163e-05
5.024108306926540202e-01,1.663894962481369931e-05
5.061050141807224012e-01,1.680662388072708330e-05
5.097991976687907822e-01,1.688882580384046557e-05
5.134933811568591633e-01,1.702049094259952091e-05
5.171875646449275443e-01,1.705127402733990885e-05
5.208817481329958143e-01,1.706868969470944498e-05
5.245759316210641954e-01,1.710274363251050554e-05
5.282701151091325764e-01,1.697207022005826281e-05
5.319642985972009575e-01,1.708009249736728148e-05
5.356584820852693385e-01,1.727364046855549515e-05
5.393526655733377195e-01,1.738827590550043911e-05
5.430468490614061006e-01,1.736368627621012861e-05
5.467410325494744816e-01,1.749944826619774754e-05
5.504352160375428626e-01,1.756782660762064584e-05
5.541293995256112437e-01,1.773302736192279065e-05
5.578235830136795137e-01,1.791202246553907660e-05
5.615177665017478947e-01,1.792576236906536356e-05
5.652119499898162758e-01,1.799932471780296136e-05
5.689061334778846568e-01,1.818468896776980222e-05
5.726003169659530379e-01,1.831316811212109925e-05
5.762945004540214189e-01,1.840305108602059291e-05
5.799886839420897999e-01,1.836731050305937614e-05
5.836828674301581810e-01,1.830945375827128683e-05
5.873770509182265620e-01,1.827882544465854163e-05
5.910712344062949430e-01,1.817037224108483640e-05
5.947654178943632131e-01,1.805338513151088896e-05
5.984596013824315941e-01,1.798904013608240186e-05
6.021537848704999751e-01,1.800729207835497352e-05
6.058479683585683562e-01,1.796983055532565989e-05
6.095421518466367372e-01,1.796938766139396634e-05
6.132363353347051182e-01,1.801708529055502474e-05
6.169305188227734993e-01,1.801632265133306510e-05
6.206247023108418803e-01,1.796780491069173747e-05
6.243188857989102614e-01,1.801130283143653329e-05
6.280130692869786424e-01,1.814525354901766455e-05
6.317072527750469124e-01,1.833189684222981524e-05
6.354014362631152935e-01,1.840669290611728249e-05
6.390956197511836745e-01,1.843065417522395794e-05
6.427898032392520555e-01,1.841624347219725883e-05
6.464839867273204366e-01,1.837320132057131974e-05
6.501781702153888176e-01,1.829250223683746639e-05
6.538723537034571986e-01,1.831853049911117882e-05
6.575665371915255797e-01,1.829503541335559099e-05
6.612607206795939607e-01,1.830388860734058693e-05
6.649549041676623418e-01,1.828959675581841632e-05
6.686490876557306118e-01,1.835173507068979011e-05
6.723432711437989928e-01,1.827872590839431794e-05
6.760374546318673739e-01,1.825756506559434028e-05
6.797316381199357549e-01,1.826942779889990240e-05
6.834258216080041359e-01,1.828377581585565088e-05
6.871200050960725170e-01,1.827566190813644905e-05
6.908141885841408980e-01,1.831937586952992321e-05
6.945083720722092790e-01,1.838523663827986126e-05
6.982025555602776601e-01,1.848035875669959587e-05
7.018967390483460411e-01,1.853575990785766235e-05
7.055909225364143111e-01,1.858585584185359958e-05
7.092851060244826922e-01,1.881730349023475347e-05
7.129792895125510732e-01,1.900559673667700443e-05
7.166734730006194543e-01,1.895162059325379352e-05
7.203676564886878353e-01,1.881535648654483807e-05
7.240618399767562163e-01,1.891613713389051618e-05
7.277560234648245974e-01,1.891829504810565510e-05
7.314502069528929784e-01,1.891729544676101158e-05
7.351443904409613594e-01,1.889668720088504694e-05
7.388385739290297405e-01,1.898082874525466724e-05
7.425327574170980105e-01,1.900518390400022850e-05
7.462269409051663915e-01,1.906280036265826073e-05
7.499211243932347726e-01,1.907800123923970447e-05
7.536153078813031536e-01,1.898488195393884559e-05
7.573094913693715347e-01,1.901728661242540382e-05
7.610036748574399157e-01,1.906934226009521761e-05
7.646978583455082967e-01,1.915319795615649660e-05
7.683920418335766778e-01,1.911109098074717091e-05
7.720862253216450588e-01,1.904581110287494318e-05
7.757804088097134398e-01,1.904296988956286692e-05
7.794745922977817099e-01,1.903468291939647964e-05
7.831687757858500909e-01,1.908748953523894338e-05
7.868629592739184719e-01,1.910934143412696293e-05
7.905571427619868530e-01,1.923288178787526309e-05
7.942513262500552340e-01,1.909555279046539275e-05
7.979455097381236151e-01,1.914930038871867602e-05
8.016396932261919961e-01,1.914064968506352566e-05
8.053338767142603771e-01,1.913942087702384938e-05
8.090280602023287582e-01,1.913718310265445771e-05
8.127222436903970282e-01,1.916148114502019660e-05
8.164164271784654092e-01,1.905967431533590778e-05
8.201106106665337903e-01,1.899217867399130983e-05
8.238047941546021713e-01,1.910540397846421376e-05
8.274989776426705523e-01,1.909607013040384908e-05
8.311931611307389334e-01,1.922120008316062568e-05
8.348873446188073144e-01,1.926848157097817577e-05
8.385815281068756954e-01,1.922853492918168917e-05
8.422757115949440765e-01,1.922850697346024508e-05
8.459698950830124575e-01,1.922531868132476755e-05
8.496640785710807275e-01,1.926527532371086093e-05
8.533582620591491086e-01,1.941224351848044887e-05
8.570524455472174896e-01,1.929274389474760413e-05
8.607466290352858707e-01,1.933431635372838146e-05
8.644408125233542517e-01,1.948014236941840877e-05
8.681349960114226327e-01,1.955208062855493109e-05
8.718291794994910138e-01,1.960275247949625442e-05
8.755233629875593948e-01,1.960270241019892019e-05
8.792175464756277758e-01,1.954637875943113923e-05
8.829117299636961569e-01,1.941602688256408499e-05
8.866059134517644269e-01,1.945713287547638949e-05
8.903000969398328079e-01,1.949582757460260893e-05
8.939942804279011890e-01,1.963825878938965801e-05
8.976884639159695700e-01,1.963428337205401066e-05
9.013826474040379511e-01,1.962234379695281317e-05
9.050768308921063321e-01,1.966588652757105180e-05
9.087710143801747131e-01,1.959298034571005885e-05
9.124651978682430942e-01,1.960795663045487167e-05
9.161593813563114752e-01,1.958533474000522168e-05
9.198535648443798562e-01,1.950394277830993158e-05
9.235477483324481263e-01,1.947273865422411281e-05
9.272419318205165073e-01,1.957103357919922495e-05
9.309361153085848883e-01,1.961999923479968355e-05
9.346302987966532694e-01,1.965545439834693291e-05
9.383244822847216504e-01,1.978916825950889521e-05
9.420186657727900315e-01,1.972908261344399948e-05
9.457128492608584125e-01,1.969916326541404521e-05
9.494070327489267935e-01,1.987555939319104182e-05
9.531012162369951746e-01,1.980853043562976702e-05
9.567953997250635556e-01,1.991565906439292282e-05
9.604895832131318256e-01,2.005036608971898744e-05
9.641837667012002067e-01,1.991950339645066692e-05
9.678779501892685877e-01,1.998877309193278218e-05
9.715721336773369687e-01,2.008459949968534021e-05
9.752663171654053498e-01,2.014005845346047299e-05
9.789605006534737308e-01,2.020248084836570997e-05
9.826546841415421119e-01,2.033549234421688673e-05
9.863488676296104929e-01,2.023891628719088882e-05
9.900430511176788739e-01,2.032928371188219858e-05
9.937372346057472550e-01,2.041249510554640163e-05
9.974314180938155250e-01,2.044959849106275622e-05
1.001125601581883906e+00,2.042758423178298027e-05
1.004819785069952287e+00,2.040229618053952145e-05
1.008513968558020668e+00,2.035387341262470518e-05
1.012208152046089049e+00,2.032489343833379040e-05
1.015902335534157430e+00,2.026442083987495984e-05
1.019596519022225811e+00,2.026219139249361677e-05
1.023290702510294192e+00,2.029053322067007228e-05
1.026984885998362573e+00,2.037777377303080531e-05
1.030679069486430954e+00,2.035891401253149414e-05
1.034373252974499335e+00,2.043750286618212692e-05
1.038067436462567716e+00,2.040602462459036197e-05
1.041761619950636097e+00,2.048795167300190381e-05
1.045455803438704478e+00,2.048647489373371915e-05
1.049149986926772860e+00,2.044483078484724404e-05
1.052844170414841019e+00,2.039313497872003399e-05
1.056538353902909400e+00,2.035925326706200200e-05
1.060232537390977781e+00,2.035138415669777748e-05
1.063926720879046162e+00,2.037800151473747660e-05
1.067620904367114543e+00,2.032782030855452280e-05
1.071315087855182924e+00,2.035696643965496737e-05
1.075009271343251305e+00,2.040496830068482876e-05
1.078703454831319686e+00,2.042685525395870178e-05
1.082397638319388067e+00,2.053062572237399503e-05
1.086091821807456448e+00,2.065133576374783881e-05
1.089786005295524829e+00,2.064579244579577071e-05
1.093480188783593210e+00,2.062100507261591597e-05
1.097174372271661591e+00,2.052465022806915733e-05
1.100868555759729972e+00,2.046102315609410366e-05
1.104562739247798353e+00,2.048519964189782257e-05
1.108256922735866734e+00,2.049875775607913216e-05
1.111951106223935115e+00,2.032013503620454077e-05
1.115645289712003496e+00,2.025860626056917707e-05
1.119339473200071877e+00,2.012103928095398389e-05
1.123033656688140258e+00,2.018231934729629198e-05
1.126727840176208417e+00,2.027657618471459847e-05
1.130422023664276798e+00,2.031406554388007240e-05
1.134116207152345179e+00,2.037470022923280088e-05
1.137810390640413560e+00,2.049545878815387678e-05
1.141504574128481941e+00,2.052713778951481574e-05
1.145198757616550322e+00,2.064821562118758112e-05
1.148892941104618703e+00,2.073765873312647537e-05
1.152587124592687085e+00,2.067355864635972882e-05
1.156281308080755466e+00,2.069385983739222462e-05
1.159975491568823847e+00,2.078705934473252373e-05
1.163669675056892228e+00,2.082670450298969493e-05
1.167363858544960609e+00,2.086350453649018618e-05
1.171058042033028990e+00,2.085802166967674689e-05
1.174752225521097371e+00,2.108435933707123407e-05
1.178446409009165752e+00,2.106800835948280970e-05
1.182140592497234133e+00,2.112750665171482745e-05
1.185834775985302514e+00,2.103771142022062128e-05
1.189528959473370895e+00,2.101956023390294935e-05
1.193223142961439276e+00,2.099072651669426514e-05
1.196917326449507657e+00,2.084407109610620799e-05
1.200611509937575816e+00,2.089885589848082824e-05
1.204305693425644197e+00,2.087840760837678857e-05
1.207999876913712578e+00,2.070214321076431870e-05
1.211694060401780959e+00,2.081705744416610012e-05
1.215388243889849340e+00,2.078062607838321261e-05
1.219082427377917721e+00,2.071379353628258210e-05
1.222776610865986102e+00,2.062716070307781937e-05
1.226470794354054483e+00,2.068044411667316394e-05
1.230164977842122864e+00,2.060124666176058473e-05
1.233859161330191245e+00,2.058318184572393685e-05
1.237553344818259626e+00,2.050340813915545093e-05
1.241247528306328007e+00,2.043998190287516520e-05
1.244941711794396388e+00,2.037581266371781097e-05
1.248635895282464769e+00,2.053621025658952808e-05
1.252330078770533150e+00,2.067736806556059616e-05
1.256024262258601532e+00,2.067158714739357350e-05
1.259718445746669913e+00,2.072742290947295773e-05
1.263412629234738294e+00,2.073894346961200312e-05
1.267106812722806675e+00,2.079113369834066218e-05
1.270800996210875056e+00,2.082652309280184872e-05
1.274495179698943215e+00,2.075049039569624562e-05
1.278189363187011596e+00,2.083306326872555383e-05
1.281883546675079977e+00,2.076310982831532746e-05
1.285577730163148358e+00,2.069889104343896122e-05
1.289271913651216739e+00,2.075886344989068507e-05
1.292966097139285120e+00,2.089806453598881236e-05
1.296660280627353501e+00,2.106093268021114772e-05
1.300354464115421882e+00,2.099902139220512229e-05
1.304048647603490263e+00,2.111332125626015936e-05
1.307742831091558644e+00,2.116110420563433158e-05
1.311437014579627025e+00,2.115417572828665277e-05
1.315131198067695406e+00,2.098417101312124045e-05
1.318825381555763787e+00,2.098737047606871137e-05
1.322519565043832168e+00,2.094022744721727580e-05
1.326213748531900549e+00,2.078274813277239557e-05
1.329907932019968930e+00,2.090521457065164902e-05
1.333602115508037311e+00,2.081936540560934011e-05
1.337296298996105692e+00,2.079567890847526504e-05
1.340990482484174073e+00,2.078136172451858349e-05
1.344684665972242454e+00,2.083197656514859265e-05
1.348378849460310613e+00,2.084127879639173367e-05
1.352073032948378994e+00,2.073130747250672310e-05
1.355767216436447375e+00,2.066103612873440110e-05
1.359461399924515757e+00,2.073418686368160734e-05
1.363155583412584138e+00,2.057901004710020352e-05
1.366849766900652519e+00,2.055342176693807034e-05
1.370543950388720900e+00,2.055882844027566119e-05
1.374238133876789281e+00,2.053108011467778422e-05
1.377932317364857662e+00,2.051548859923875166e-05
1.381626500852926043e+00,2.051773194036605409e-05
1.385320684340994424e+00,2.061148880875398129e-05
1.389014867829062805e+00,2.066512491251731382e-05
1.392709051317131186e+00,2.075192886400592583e-05
1.396403234805199567e+00,2.074067758605856906e-05
1.400097418293267948e+00,2.075929537563427635e-05
1.403791601781336329e+00,2.083281205087718745e-05
1.407485785269404710e+00,2.084824804415335355e-05
1.411179968757473091e+00,2.088050736096437479e-05
1.414874152245541472e+00,2.092244121795327005e-05
1.418568335733609853e+00,2.095224564379645363e-05
1.422262519221678012e+00,2.082931512246900913e-05
1.425956702709746393e+00,2.074748770567031282e-05
1.429650886197814774e+00,2.077028583898334817e-05
1.433345069685883155e+00,2.073696281183542577e-05
1.437039253173951536e+00,2.086220299619696416e-05
1.440733436662019917e+00,2.075232258990623464e-05
1.444427620150088298e+00,2.078043814268000207e-05
1.448121803638156679e+00,2.080932515034139826e-05
1.451815987126225060e+00,2.084684538488015143e-05
1.455510170614293441e+00,2.075948787785052442e-05
1.459204354102361822e+00,2.085700605030792960e-05
1.462898537590430204e+00,2.068263954639323004e-05
1.466592721078498585e+00,2.057594243513483038e-05
1.470286904566566966e+00,2.048799995712722173e-05
1.473981088054635347e+00,2.048857937711607470e-05
1.477675271542703728e+00,2.056215590021941112e-05
1.481369455030772109e+00,2.060290744639540751e-05
1.485063638518840490e+00,2.065794441519608378e-05
1.488757822006908871e+00,2.069915742773725472e-05
1.492452005494977252e+00,2.066107171729121846e-05
1.496146188983045411e+00,2.067403896880128520e-05
1.499840372471113792e+00,2.084028059454326055e-05
1.503534555959182173e+00,2.102585159781555319e-05
1.507228739447250554e+00,2.108793407474919882e-05
1.510922922935318935e+00,2.113913917358978595e-05
1.514617106423387316e+00,2.122491246994224801e-05
1.518311289911455697e+00,2.114840736199634681e-05
1.522005473399524078e+00,2.110689179586839795e-05
1.525699656887592459e+00,2.099719274035601285e-05
1.529393840375660840e+00,2.091217292140918192e-05
1.533088023863729221e+00,2.091792373823698077e-05
1.536782207351797602e+00,2.093462688036627436e-05
1.540476390839865983e+00,2.085255214726680119e-05
1.544170574327934364e+00,2.087172687794866036e-05
1.547864757816002745e+00,2.102965655250115250e-05
1.551558941304071126e+00,2.102024919562516260e-05
1.555253124792139507e+00,2.106396711969788833e-05
1.558947308280207888e+00,2.097333186266828715e-05
1.562641491768276270e+00,2.081378541488671847e-05
1.566335675256344651e+00,2.084533274697908042e-05
1.570029858744412810e+00,2.072662533935322758e-05
1.573724042232481191e+00,2.061737661154891560e-05
1.577418319536317393e+00,2.062761215141352086e-05
1.581112596840153595e+00,2.058917328233763540e-05
1.584806874143989797e+00,2.075277778967757762e-05
1.588501151447825999e+00,2.072062070026521829e-05
1.592195428751661979e+00,2.082869337030444782e-05
1.595889706055498181e+00,2.074351226233790634e-05
1.599583983359334383e+00,2.075335746930592542e-05
1.603278260663170585e+00,2.058493544348927924e-05
1.606972537967006787e+00,2.059575460400437608e-05
1.610666815270842767e+00,2.071383896005113249e-05
1.614361092574678969e+00,2.072157104265403706e-05
1.618055369878515171e+00,2.077309925827649682e-05
1.621749647182351373e+00,2.073607224951553644e-05
1.625443924486187353e+00,2.079892753279569297e-05
1.629138201790023555e+00,2.072677140601836892e-05
1.632832479093859757e+00,2.085095963672045535e-05
1.636526756397695959e+00,2.086975528301847650e-05
1.640221033701532161e+00,2.103313332000090295e-05
1.643915311005368141e+00,2.103157305340219827e-05
1.647609588309204343e+00,2.101856500435819448e-05
1.651303865613040545e+00,2.105030246872036502e-05
1.654998142916876747e+00,2.114802406455213064e-05
1.658692420220712949e+00,2.104776741037066632e-05
1.662386697524548929e+00,2.106374015799650578e-05
1.666080974828385131e+00,2.105711171632388348e-05
1.669775252132221333e+00,2.099713736641765449e-05
1.673469529436057535e+00,2.101996867602766219e-05
1.677163806739893737e+00,2.098017934797237862e-05
1.680858084043729717e+00,2.100554166462557050e-05
1.684552361347565919e+00,2.091580828378592651e-05
1.688246638651402121e+00,2.095561187332310488e-05
1.691940915955238323e+00,2.081452897392159843e-05
1.695635193259074303e+00,2.075783004788399742e-05
1.699329470562910505e+00,2.082176352466657648e-05
1.703023747866746707e+00,2.079540996515975086e-05
1.706718025170582909e+00,2.080431651132072594e-05
1.710412302474419111e+00,2.083592534018623954e-05
1.714106579778255091e+00,2.078659570135732565e-05
1.717800857082091293e+00,2.070873375879540829e-05
1.721495134385927495e+00,2.063468751131013952e-05
1.725189411689763697e+00,2.063906474629812946e-05
1.728883688993599899e+00,2.057751998328324791e-05
1.732577966297435879e+00,2.057360071329006917e-05
1.736272243601272081e+00,2.064348510155815137e-05
1.739966520905108283e+00,2.065887495853393029e-05
1.743660798208944485e+00,2.062685559321787549e-05
1.747355075512780465e+00,2.065669021000766798e-05
1.751049352816616667e+00,2.071627515645601994e-05
1.754743630120452869e+00,2.077600868882462551e-05
1.758437907424289071e+00,2.076454084965146177e-05
1.762132184728125273e+00,2.084074476720876448e-05
1.765826462031961253e+00,2.066740957570258779e-05
1.769520739335797455e+00,2.078765666572553525e-05
1.773215016639633657e+00,2.077659360678500572e-05
1.776909293943469859e+00,2.071428171988658038e-05
1.780603571247306061e+00,2.075590026127076062e-05
1.784297848551142041e+00,2.067481421355091322e-05
1.787992125854978243e+00,2.062439459183771455e-05
1.791686403158814445e+00,2.067897497592690147e-05
1.795380680462650647e+00,2.067355428205460113e-05
1.799074957766486627e+00,2.076834824776415084e-05
1.802769235070322829e+00,2.092657662286566577e-05
1.806463512374159031e+00,2.113357918206964353e-05
1.810157789677995233e+00,2.105805164638218228e-05
1.813852066981831435e+00,2.115098517650572190e-05
1.817546344285667415e+00,2.114791369391853524e-05
1.821240621589503617e+00,2.126961757621176739e-05
1.824934898893339819e+00,2.126753807986113249e-05
1.828629176197176021e+00,2.125325671516188248e-05
1.832323453501012223e+00,2.118070048794717521e-05
1.836017730804848203e+00,2.137249458666457992e-05
1.839712008108684405e+00,2.128853444019302522e-05
1.843406285412520607e+00,2.131607229581895625e-05
1.847100562716356809e+00,2.123834945078875288e-05
1.850794840020193011e+00,2.121239884428322581e-05
1.854489117324028991e+00,2.115584146790430394e-05
1.858183394627865193e+00,2.113983676713759340e-05
1.861877671931701395e+00,2.108063113779234257e-05
1.865571949235537597e+00,2.114240633357887016e-05
1.869266226539373577e+00,2.113158245452670237e-05
1.872960503843209779e+00,2.110459946003390893e-05
1.876654781147045981e+00,2.109386708041761073e-05
1.880349058450882183e+00,2.110718111414990535e-05
1.884043335754718385e+00,2.109757990939221617e-05
1.887737613058554365e+00,2.102123453218316824e-05
1.891431890362390567e+00,2.101481396577684578e-05
1.895126167666226769e+00,2.101098523185397309e-05
1.898820444970062971e+00,2.107922853445638313e-05
1.902514722273899173e+00,2.101816932218901888e-05
1.906208999577735153e+00,2.087296409046192588e-05
1.909903276881571355e+00,2.069678306099040910e-05
1.913597554185407557e+00,2.075632498392032788e-05
1.917291831489243759e+00,2.071969727739448038e-05
1.920986108793079739e+00,2.071768967468513731e-05
1.924680386096915941e+00,2.068910058059082393e-05
1.928374663400752143e+00,2.056081565804751557e-05
1.932068940704588345e+00,2.048812421882040811e-05
1.935763218008424547e+00,2.047081502253498793e-05
1.939457495312260527e+00,2.051694737626125623e-05
1.943151772616096729e+00,2.051687291573466823e-05
1.946846049919932931e+00,2.062255447108556498e-05
1.950540327223769133e+00,2.068917450749821208e-05
1.954234604527605335e+00,2.070791686952836610e-05
1.957928881831441315e+00,2.077786202523355783e-05
1.961623159135277517e+00,2.069132756126791729e-05
1.965317436439113719e+00,2.066555803037631851e-05
1.969011713742949921e+00,2.066835633282995821e-05
1.972705991046786123e+00,2.072119037224306895e-05
1.976400268350622103e+00,2.071709098084618012e-05
1.980094545654458305e+00,2.074277811124645160e-05
1.983788822958294507e+00,2.073707390944365400e-05
1.987483100262130709e+00,2.079233021498194548e-05
1.991177377565966689e+00,2.079965566037345574e-05
1.994871654869802891e+00,2.076741817157854421e-05
